holder_name,total_shares,num_etfs,etfs_held,institution_type,country,metro
Nilsine Partners LLC,153226.0,1,JBBB,Investment Advisor,United States,Denver
Cachetech Inc,152080.0,1,JBBB,Investment Advisor,United States,Salt Lake City
Garden State Investm,142671.0,1,ICLO,Investment Advisor,United States,New York City/Southern CT/Northern NJ
L&S Advisors Inc,140445.0,1,CLOB,Investment Advisor,United States,Los Angeles/Pasadena
Pacific Sage Partner,136611.0,1,CLIP,Investment Advisor,United States,Seattle
ASL Financial LLC,132828.0,1,ICLO,Investment Advisor,United States,San Francisco/San Jose
Connecticut Capital,130025.0,1,ICLO,Investment Advisor,United States,Hartford
Asset Allocation Str,126439.0,1,ICLO,Hedge Fund Manager,United States,Detroit
Verus Capital Partne,117350.0,1,CLIP,Investment Advisor,United States,Phoenix
Curtis Advisory Grou,117186.0,1,CLIP,Investment Advisor,United States,Los Angeles/Pasadena
ApS Management Group,116449.0,1,CLIP,Investment Advisor,United States,Los Angeles/Pasadena
Guild Investment Man,112465.0,1,CLIP,Investment Advisor,United States,Los Angeles/Pasadena
San Luis Wealth Advi,110145.0,1,ICLO,Investment Advisor,United States,Los Angeles/Pasadena
Colonial River Wealt,106026.0,1,ICLO,Investment Advisor,United States,Richmond
WMG Financial Adviso,104472.0,1,CLOX,Investment Advisor,United States,Nashville
Inspire Advisors LLC,92621.0,1,CLOX,Investment Advisor,United States,San Francisco/San Jose
Fortis Group Advisor,54760.0,1,CLOX,Investment Advisor,United States,New York City/Southern CT/Northern NJ
Brookwood Investment,53643.0,1,CLOX,Investment Advisor,United States,Phoenix
Valeo Financial Advi,50000.0,1,CLOX,Investment Advisor,United States,Indianapolis
Janney Montgomery Sc,49515.0,1,CLOX,Investment Advisor,United States,Philadelphia
WESPAC Advisors LLC,48929.0,1,CLOX,Investment Advisor,United States,San Francisco/San Jose
Castleview Partners,29831.0,1,CLOB,Investment Advisor,United States,Dallas/Ft. Worth
JW Cole Advisors Inc,28553.0,1,CLOX,Investment Advisor,United States,Tampa
Griffin Asset Manage,26574.0,1,CLOX,Investment Advisor,United States,New York City/Southern CT/Northern NJ
Bison Wealth LLC,23199.0,1,CLOB,Investment Advisor,United States,Atlanta
Philadelphia Financi,23137.0,1,AAA,Insurance Company,United States,Philadelphia
Legacy Capital Group,20670.0,1,AAA,Investment Advisor,United States,San Francisco/San Jose
Diversified Portfoli,16326.0,1,CLOB,Investment Advisor,United States,Detroit
Procyon Advisors LLC,12980.0,1,AAA,Investment Advisor,United States,Hartford
Elequin Capital LP,7826.0,2,"BCLO, CLOB",Hedge Fund Manager,United States,New York City/Southern CT/Northern NJ
Osaic Holdings Inc,7641.0,2,"AAA, CLOB",Investment Advisor,United States,Phoenix
Sunbelt Securities I,7304.0,1,BCLO,Brokerage,United States,Houston
Visionpoint Advisory,6429.0,1,CLOB,Investment Advisor,United States,Dallas/Ft. Worth
International Assets,4435.0,2,"AAA, CLOB",Investment Advisor,United States,Orlando
Corecap Advisors LLC,2173.0,1,AAA,Investment Advisor,United States,Detroit
BERRY ROCK INS CO,500.0,1,AAA,Insurance Company,United States,Oklahoma City
Newedge Advisors Llc,400.0,1,CLOB,Investment Advisor,United States,New Orleans
Basso Capital Manage,185.0,1,CLOB,Hedge Fund Manager,United States,New York City/Southern CT/Northern NJ
