ticker,holder_name,portfolio_name,source,amount_held,pct_outstanding,latest_change,filing_date,institution_type,country,metro_area,etf_label,ticker_raw
AAA US Equity,Osaic Holdings Inc,Osaic Holdings Inc,13F,0.0,0.0,-1000.0,2025-12-31,Investment Advisor,United States,Phoenix,AAA (Virtus AAA CLO),AAA
AAA US Equity,Citadel Advisors LLC,Citadel Advisors LLC,13F,0.0,0.0,-44374.0,2025-12-31,Hedge Fund Manager,United States,Chicago,AAA (Virtus AAA CLO),AAA
CLOI US Equity,LPL Financial LLC,LPL Financial LLC,13F,2027584.0,7.83,419749.0,2025-12-31,Brokerage,United States,Boston,CLOI (VanEck CLO),CLOI
CLOI US Equity,Independence Asset A,Independence Asset A,13F,1589919.0,6.14,17203.0,2025-12-31,Hedge Fund Manager,United States,Philadelphia,CLOI (VanEck CLO),CLOI
CLOI US Equity,Capital Investment A,Capital Investment A,13F,1563732.0,6.04,129592.0,2025-12-31,Investment Advisor,United States,Atlanta,CLOI (VanEck CLO),CLOI
CLOI US Equity,Syon Capital LLC,Syon Capital LLC,13F,668090.0,2.58,-635.0,2025-12-31,Investment Advisor,United States,San Francisco/San Jose,CLOI (VanEck CLO),CLOI
CLOI US Equity,Orion Portfolio Solu,ORION PORFOLIO SOLUT,13F,607560.0,2.35,-16269.0,2025-12-31,Investment Advisor,United States,Omaha,CLOI (VanEck CLO),CLOI
CLOI US Equity,SAX Wealth Advisors,SAX Wealth Advisors,13F,362439.0,1.4,96310.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,CLOI (VanEck CLO),CLOI
CLOI US Equity,True Private Wealth,True Private Wealth,13F,357729.0,1.38,21230.0,2025-12-31,Investment Advisor,United States,Portland (OR),CLOI (VanEck CLO),CLOI
CLOI US Equity,HighTower Advisors L,HighTower Advisors L,13F,321035.0,1.24,6703.0,2025-12-31,Investment Advisor,United States,Chicago,CLOI (VanEck CLO),CLOI
CLOI US Equity,WealthPlan Investmen,WealthPlan Investmen,13F,282187.0,1.09,-41589.0,2025-12-31,Investment Advisor,United States,Omaha,CLOI (VanEck CLO),CLOI
CLOI US Equity,Deseret Mutual Benef,Deseret Mutual Benef,13F,277556.0,1.07,-13691.0,2025-12-31,Insurance Company,United States,Salt Lake City,CLOI (VanEck CLO),CLOI
CLOI US Equity,Goldman Sachs Group,,ULT-AGG,270211.0,1.04,106212.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,CLOI (VanEck CLO),CLOI
CLOI US Equity,Gradient Investments,Gradient Investments,13F,267392.0,1.03,2009.0,2025-12-31,Investment Advisor,United States,Minneapolis/St. Paul,CLOI (VanEck CLO),CLOI
CLOI US Equity,Darwin Wealth Manage,Darwin Wealth Manage,13F,259273.0,1.0,5595.0,2025-12-31,Investment Advisor,United States,Tampa,CLOI (VanEck CLO),CLOI
CLOI US Equity,Axxcess Wealth Manag,Axxcess Wealth Manag,13F,255648.0,0.99,255648.0,2025-12-31,Investment Advisor,United States,San Diego,CLOI (VanEck CLO),CLOI
CLOI US Equity,AE Wealth Management,AE Wealth Management,13F,244329.0,0.94,17325.0,2025-12-31,Investment Advisor,United States,Kansas City,CLOI (VanEck CLO),CLOI
CLOI US Equity,Moneta Group Investm,Moneta Group Investm,13F,229940.0,0.89,10598.0,2025-12-31,Investment Advisor,United States,Saint Louis,CLOI (VanEck CLO),CLOI
CLOI US Equity,Employees Retirement,Employees Retirement,13F,226600.0,0.87,226600.0,2025-12-31,401k,United States,Dallas/Ft. Worth,CLOI (VanEck CLO),CLOI
CLOI US Equity,TLP Associates LLC,TLP Associates LLC,13F,205946.0,0.8,-1931.0,2025-12-31,Hedge Fund Manager,United States,Boston,CLOI (VanEck CLO),CLOI
CLOI US Equity,MML Investors Servic,MML Investors Servic,13F,194165.0,0.75,1072.0,2025-12-31,Brokerage,United States,Hartford,CLOI (VanEck CLO),CLOI
CLOI US Equity,Cambridge Investment,Cambridge Investment,13F,185721.0,0.72,18706.0,2025-12-31,Brokerage,United States,Unclassified,CLOI (VanEck CLO),CLOI
CLOA US Equity,Bain Capital Private,,ULT-AGG,1886660.0,6.21,564357.0,2025-12-31,Private Equity,United States,Boston,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,LPL Financial LLC,LPL Financial LLC,13F,1731327.0,5.7,197443.0,2025-12-31,Brokerage,United States,Boston,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Blackrock Inc,,13G,1716361.0,5.65,452410.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,JPMorgan Chase & Co,JPMorgan Chase & Co,13F,1145717.0,3.77,1003933.0,2025-12-31,Bank,United States,New York City/Southern CT/Northern NJ,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Advocacy Wealth Mana,Advocacy Wealth Mana,13F,741479.0,2.44,73484.0,2025-12-31,Investment Advisor,United States,Atlanta,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Pallas Capital Advis,Pallas Capital Advis,13F,559818.0,1.84,57503.0,2025-12-31,Investment Advisor,United States,Boston,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Inspirion Wealth Adv,Inspirion Wealth Adv,13F,499926.0,1.64,499926.0,2025-12-31,Investment Advisor,United States,Chicago,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Genstar Capital LLC,,ULT-AGG,456599.0,1.5,141110.0,2025-12-31,Private Equity,United States,San Francisco/San Jose,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,BBL Asset Management,,ULT-AGG,450322.0,1.48,0.0,2025-11-28,Investment Advisor,Thailand,Bangkok,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Bank of America Corp,Bank of America Corp,13F,400000.0,1.32,347446.0,2025-12-31,Bank,United States,Charlotte,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Betterment LLC,Betterment LLC,13F,324160.0,1.07,324160.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,MML Investors Servic,MML Investors Servic,13F,288270.0,0.95,92841.0,2025-12-31,Brokerage,United States,Hartford,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Bar Harbor Wealth Ma,Bar Harbor Wealth Ma,13F,285008.0,0.94,26051.0,2025-12-31,Investment Advisor,United States,Boston,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Vestmark Advisory So,Vestmark Advisory So,13F,280340.0,0.92,143012.0,2025-12-31,Investment Advisor,United States,Washington DC,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Landing Point Financ,Landing Point Financ,13F,270956.0,0.89,15235.0,2025-12-31,Investment Advisor,United States,Cleveland,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Goldstone Financial,Goldstone Financial,13F,264084.0,0.87,13063.0,2025-12-31,Investment Advisor,United States,Chicago,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Morgan Stanley,,ULT-AGG,247780.0,0.82,90982.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Ferguson Shapiro LLC,Ferguson Shapiro LLC,13F,235865.0,0.78,60084.0,2025-12-31,Investment Advisor,United States,Atlanta,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,AE Wealth Management,AE Wealth Management,13F,231742.0,0.76,16218.0,2025-12-31,Investment Advisor,United States,Kansas City,CLOA (iShares AAA CLO),CLOA
CLOA US Equity,Cascade Wealth Advis,Cascade Wealth Advis,13F,226517.0,0.75,36026.0,2025-12-31,Investment Advisor,United States,Seattle,CLOA (iShares AAA CLO),CLOA
CLOZ US Equity,Arax Advisory Partne,ARAX ADVISORY PARTNE,13F,2010327.0,6.96,-12565.0,2025-12-31,Investment Advisor,United States,Denver,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Eldridge Industries,,ULT-AGG,1625576.0,5.62,0.0,2025-12-31,Private Equity,United States,New York City/Southern CT/Northern NJ,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Focus Partners Wealt,Focus Partners Wealt,13F,1304334.0,4.51,1304334.0,2025-12-31,Hedge Fund Manager,United States,Boston,CLOZ (Panagram BB-B CLO),CLOZ
